threshold,precision,recall,f1
0.1,0.41735052754982416,0.9518716577540107,0.5802770986145069
0.15,0.4564926372155288,0.9117647058823529,0.6083853702051739
0.2,0.4855403348554033,0.8529411764705882,0.6188166828322017
0.25,0.5156794425087108,0.7914438502673797,0.6244725738396625
0.3,0.5399610136452242,0.7406417112299465,0.6245772266065389
0.35,0.5733041575492341,0.7005347593582888,0.6305655836341757
0.4,0.5961538461538461,0.6631016042780749,0.6278481012658228
0.45,0.6222826086956522,0.6122994652406417,0.6172506738544474
0.5,0.6603174603174603,0.5561497326203209,0.6037735849056604
0.55,0.6991869918699187,0.45989304812834225,0.5548387096774193
0.6,0.7236180904522613,0.3850267379679144,0.5026178010471204
0.65,0.7375,0.3155080213903743,0.4419475655430712
0.7,0.7967479674796748,0.2620320855614973,0.39436619718309857
0.75,0.8152173913043478,0.20053475935828877,0.3218884120171674
0.8,0.8571428571428571,0.1443850267379679,0.2471395881006865
0.85,0.8611111111111112,0.08288770053475936,0.15121951219512195
0.9,0.9,0.02406417112299465,0.046875
